Title,Author,Date,Price,Rating,Reviews
The Storyteller: Tales of Life and Music,Dave Grohl,10/5/2021,19.26,4.8,"718,Other format: ,Audio CD"
"The Pioneer Woman Cooks - Super Easy!: 120 Shortcut Recipes for Dinners, Desserts, and More",Ree Drummond,10/19/2021,19.51,4.6,133
The Lincoln Highway: A Novel,Amor Towles,10/5/2021,20.4,4.5,"1,835,Other formats: ,Paperback,, ,Audio CD"
Peril,"Bob Woodward,Robert Costa",9/21/2021,18,4.5,"6,822,Other format: ,Audio CD"
Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It,Dave Quinn,10/19/2021,20.68,3.7,51
State of Terror: A Novel,"Louise Penny,Hillary Rodham Clinton",10/12/2021,18.53,4.6,"2,158,Other formats: ,Paperback,, ,Audio CD"
Midnight in Washington: How We Almost Lost Our Democracy and Still Could,Adam Schiff,10/12/2021,20.92,4.6,333
The Judge's List: A Novel,John Grisham,10/19/2021,17.97,4.6,"587,Other formats: ,Paperback,, ,Audio CD"
"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","Bret Baier,Catherine Whitney",10/12/2021,17.84,4.8,"119,Other formats: ,Paperback,, ,Audio CD"
"Rigged: How the Media, Big Tech, and the Democrats Seized Our Elections",Mollie Hemingway,10/12/2021,18.99,4.7,116
Cloud Cuckoo Land: A Novel,Anthony Doerr,9/28/2021,18.57,4.6,"1,255,Other formats: ,Paperback,, ,Audio CD"
"The Dying Citizen: How Progressive Elites, Tribalism, and Globalization Are Destroying the Idea of America",Victor Davis Hanson,10/5/2021,15.8,4.7,"125,Other format: ,Audio CD"
Apples Never Fall,Liane Moriarty,9/14/2021,17.39,4.3,"10,967,Other formats: ,Paperback,, ,Audio CD"
The Christmas Pig,"J. K. Rowling,Jim Field",10/12/2021,15.78,4.5,102
The Wish,Nicholas Sparks,9/28/2021,15.99,4.8,"4,436,Other formats: ,Paperback,, ,Audio CD"
"Feeding the Soul (Because It's My Business): Finding Our Way to Joy, Love, and Freedom",Tabitha Brown,9/28/2021,16.79,4.9,"681,Other format: ,Audio CD"
Vanderbilt: The Rise and Fall of an American Dynasty,"Anderson Cooper,Katherine Howe",9/21/2021,18,4.4,"2,143,Other formats: ,Paperback,, ,Audio CD"
Taste: My Life Through Food,Stanley Tucci,10/5/2021,18.14,4.7,"178,Other format: ,Audio CD"
The High 5 Habit: Take Control of Your Life with One Simple Habit,Mel Robbins,9/28/2021,15.79,4.8,454
The Boys: A Memoir of Hollywood and Family,"Ron Howard,Clint Howard",10/12/2021,18.84,4.8,"235,Other formats: ,Paperback,, ,Audio CD"
Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,Joshua Weissman,9/14/2021,17.93,4.9,"2,068"
There Is Nothing for You Here: Finding Opportunity in the Twenty-First Century,Fiona Hill,10/5/2021,25.49,4.7,"116,Other format: ,Audio CD"
Gastro Obscura: A Food Adventurer's Guide (Atlas Obscura),"Cecily Wong,, ,Dylan Thuras",10/12/2021,25.5,4.5,70
The Beatles: Get Back,"The Beatles,, ,John Harris",10/12/2021,36,4.5,92
"The Daily Laws: 366 Meditations on Power, Seduction, Mastery, Strategy, and Human Nature",Robert Greene,10/12/2021,17.58,4.7,55
"The Bad Seed Presents: The Good, the Bad, and the Spooky (The Food Group)","Jory John,Pete Oswald",7/27/2021,9.88,4.8,435
Crossroads: A Novel,Jonathan Franzen,10/5/2021,18.08,4.1,"321,Other formats: ,Paperback,, ,Audio CD"
E.R. Nurses: True Stories from America's Greatest Unsung Heroes,"James Patterson,Matt Eversmann,, et al.",10/11/2021,19.43,4.4,"309,Other formats: ,Paperback,, ,Audio CD"
The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,Joanne Lee Molinaro,10/12/2021,24.48,4.8,87
